cliente_id,etapa,tokens_entrada,tokens_saida,latencia_s,custo_estimado_usd
CLI-014,planejamento,231,70,11.6507,0.0
CLI-014,parecer,685,196,35.6215,0.0
CLI-023,planejamento,232,76,1.147,0.0
CLI-023,parecer,609,267,1.5736,0.0
CLI-028,planejamento,230,69,2.0458,0.0
CLI-028,parecer,599,195,3.0453,0.0
CLI-013,planejamento,231,64,2.3123,0.0
CLI-013,parecer,592,188,1.2435,0.0
CLI-005,planejamento,231,68,6.1633,0.0
CLI-005,parecer,596,296,16.612,0.0
CLI-026,planejamento,231,62,0.8197,0.0
CLI-026,parecer,587,198,1.2745,0.0
CLI-001,planejamento,231,76,2.3387,0.0
CLI-001,parecer,586,207,1.1201,0.0
CLI-029,planejamento,251,120,0.9641,0.0
CLI-029,parecer,928,225,1.4146,0.0
CLI-017,planejamento,251,120,1.8555,0.0
CLI-017,parecer,932,208,3.4285,0.0
CLI-030,planejamento,232,61,0.8809,0.0
CLI-030,parecer,499,154,34.5552,0.0
