cliente_id,data,qtd_operacoes_dia,volume_dia_brl,maior_operacao_dia_brl,flag_fracionamento_grupo
CLI-A-1,2026-03-09,3,54200.0,18800.0,True
CLI-A-1,2026-03-21,1,3300.0,3300.0,False
CLI-A-2,2026-03-14,2,52900.0,27000.0,False
CLI-A-3,2026-03-05,3,48500.0,17200.0,False
CLI-A-4,2026-03-03,1,3800.0,3800.0,False
CLI-A-4,2026-03-11,1,5100.0,5100.0,False
CLI-A-4,2026-03-18,1,5800.0,5800.0,False
CLI-A-4,2026-03-24,1,64800.00000000001,64800.00000000001,False
CLI-A-5,2026-03-07,1,2900.0,2900.0,False
CLI-A-5,2026-03-16,1,7000.0,7000.0,False
CLI-A-5,2026-03-26,1,2700.0,2700.0,False
CLI-A-6,2026-03-12,1,8800.0,8800.0,False
CLI-A-6,2026-03-28,1,1400.0,1400.0,False
