cliente_id,referencia,volume_dia_brl,qtd_operacoes_dia,tipo_alerta,valor_brl,mediana_cliente_brl,limite_atipico_brl
CLI-002,2026-05-01 00:00:00,64723.09,4.0,fracionamento,,,
CLI-003,2026-05-02 00:00:00,50846.72,4.0,fracionamento,,,
CLI-017,2026-03-08 00:00:00,64673.880000000005,4.0,fracionamento,,,
CLI-029,2026-05-26 00:00:00,71297.68,4.0,fracionamento,,,
CLI-014,OP-00133,,,valor_atipico,23640.97,2308.41,11542.05
CLI-021,OP-00197,,,valor_atipico,15785.39,2832.545,14162.725
CLI-014,OP-00129,,,valor_atipico,13660.65,2308.41,11542.05
CLI-026,OP-00253,,,valor_atipico,21261.01,2032.93,10164.65
CLI-023,OP-00219,,,valor_atipico,41768.17,3241.16,16205.8
CLI-001,OP-00008,,,valor_atipico,25110.15,1609.155,8045.775
CLI-005,OP-00049,,,valor_atipico,11988.17,2144.18,10720.9
CLI-013,OP-00310,,,valor_atipico,28487.76,3146.225,15731.125
CLI-022,OP-00312,,,valor_atipico,30894.858000000004,1909.89,9549.45
CLI-024,OP-00316,,,valor_atipico,68247.14400000001,2740.78,13703.900000000001
CLI-028,OP-00308,,,valor_atipico,27715.48,4430.25,22151.25
CLI-026,OP-00247,,,valor_atipico,12518.3,2032.93,10164.65
CLI-028,OP-00307,,,valor_atipico,24875.39,4430.25,22151.25
CLI-030,OP-00313,,,valor_atipico,77628.186,4611.07,23055.35
CLI-013,OP-00309,,,valor_atipico,26754.23,3146.225,15731.125
CLI-007,OP-00314,,,valor_atipico,26822.070000000003,3021.61,15108.050000000001
CLI-014,OP-00315,,,valor_atipico,21064.59,2308.41,11542.05
CLI-008,OP-00077,,,valor_atipico,18568.72,3503.4849999999997,17517.425
CLI-023,OP-00317,,,valor_atipico,65417.16600000001,3241.16,16205.8
CLI-001,OP-00006,,,valor_atipico,9490.55,1609.155,8045.775
CLI-005,OP-00043,,,valor_atipico,30743.97,2144.18,10720.9
